County,State,Distance (km)
Wahkiakum County,Washington,NA
Walla Walla County,Washington,NA
Whatcom County,Washington,NA
Whitman County,Washington,NA
Yakima County,Washington,NA
Barbour County,West Virginia,NA
Berkeley County,West Virginia,NA
Boone County,West Virginia,NA
Braxton County,West Virginia,NA
Brooke County,West Virginia,NA
Cabell County,West Virginia,NA
Calhoun County,West Virginia,NA
Clay County,West Virginia,NA
Doddridge County,West Virginia,NA
Fayette County,West Virginia,NA
Gilmer County,West Virginia,NA
Grant County,West Virginia,NA
Greenbrier County,West Virginia,NA
Hampshire County,West Virginia,NA
Hancock County,West Virginia,NA
Hardy County,West Virginia,NA
Harrison County,West Virginia,NA
Jackson County,West Virginia,NA
Jefferson County,West Virginia,NA
Kanawha County,West Virginia,NA
Lewis County,West Virginia,NA
Lincoln County,West Virginia,NA
Logan County,West Virginia,NA
McDowell County,West Virginia,NA
Marion County,West Virginia,NA
Marshall County,West Virginia,NA
Mason County,West Virginia,NA
Mercer County,West Virginia,NA
Mineral County,West Virginia,NA
Mingo County,West Virginia,NA
Monongalia County,West Virginia,NA
Monroe County,West Virginia,NA
Morgan County,West Virginia,NA
Nicholas County,West Virginia,NA
Ohio County,West Virginia,NA
Pendleton County,West Virginia,NA
Pleasants County,West Virginia,NA
Pocahontas County,West Virginia,NA
Preston County,West Virginia,NA
Putnam County,West Virginia,NA
Raleigh County,West Virginia,NA
Randolph County,West Virginia,NA
Ritchie County,West Virginia,NA
Roane County,West Virginia,NA
Summers County,West Virginia,NA
Taylor County,West Virginia,NA
Tucker County,West Virginia,NA
Tyler County,West Virginia,NA
Upshur County,West Virginia,NA
Wayne County,West Virginia,NA
Webster County,West Virginia,NA
Wetzel County,West Virginia,NA
Wirt County,West Virginia,NA
Wood County,West Virginia,NA
Wyoming County,West Virginia,NA
Adams County,Wisconsin,NA
Ashland County,Wisconsin,NA
Barron County,Wisconsin,NA
Bayfield County,Wisconsin,NA
Brown County,Wisconsin,NA
Buffalo County,Wisconsin,NA
Burnett County,Wisconsin,NA
Calumet County,Wisconsin,NA
Chippewa County,Wisconsin,NA
Clark County,Wisconsin,NA
Columbia County,Wisconsin,NA
Crawford County,Wisconsin,NA
Dane County,Wisconsin,NA
Dodge County,Wisconsin,NA
Door County,Wisconsin,NA
Douglas County,Wisconsin,NA
Dunn County,Wisconsin,NA
Eau Claire County,Wisconsin,NA
Florence County,Wisconsin,NA
Fond du Lac County,Wisconsin,NA
Forest County,Wisconsin,NA
Grant County,Wisconsin,NA
Green County,Wisconsin,NA
Green Lake County,Wisconsin,NA
Iowa County,Wisconsin,NA
Iron County,Wisconsin,NA
Jackson County,Wisconsin,NA
Jefferson County,Wisconsin,NA
Juneau County,Wisconsin,NA
Kenosha County,Wisconsin,NA
Kewaunee County,Wisconsin,NA
La Crosse County,Wisconsin,NA
Lafayette County,Wisconsin,NA
Langlade County,Wisconsin,NA
Lincoln County,Wisconsin,NA
Manitowoc County,Wisconsin,NA
Marathon County,Wisconsin,NA
Marinette County,Wisconsin,NA
Marquette County,Wisconsin,NA
Menominee County,Wisconsin,NA
Milwaukee County,Wisconsin,NA
Monroe County,Wisconsin,NA
Oconto County,Wisconsin,NA
Oneida County,Wisconsin,NA
Outagamie County,Wisconsin,NA
Ozaukee County,Wisconsin,NA
Pepin County,Wisconsin,NA
Pierce County,Wisconsin,NA
Polk County,Wisconsin,NA
Portage County,Wisconsin,NA
Price County,Wisconsin,NA
Racine County,Wisconsin,NA
Richland County,Wisconsin,NA
Rock County,Wisconsin,NA
Rusk County,Wisconsin,NA
St. Croix County,Wisconsin,NA
Sauk County,Wisconsin,NA
Sawyer County,Wisconsin,NA
Shawano County,Wisconsin,NA
Sheboygan County,Wisconsin,NA
Taylor County,Wisconsin,NA
Trempealeau County,Wisconsin,NA
Vernon County,Wisconsin,NA
Vilas County,Wisconsin,NA
Walworth County,Wisconsin,NA
Washburn County,Wisconsin,NA
Washington County,Wisconsin,NA
Waukesha County,Wisconsin,NA
Waupaca County,Wisconsin,NA
Waushara County,Wisconsin,NA
Winnebago County,Wisconsin,NA
Wood County,Wisconsin,NA
Albany County,Wyoming,NA
Big Horn County,Wyoming,NA
Campbell County,Wyoming,NA
Carbon County,Wyoming,NA
Converse County,Wyoming,NA
Crook County,Wyoming,NA
Fremont County,Wyoming,NA
Goshen County,Wyoming,NA
Hot Springs County,Wyoming,NA
Johnson County,Wyoming,NA
Laramie County,Wyoming,NA
Lincoln County,Wyoming,NA
Natrona County,Wyoming,NA
Niobrara County,Wyoming,NA
Park County,Wyoming,NA
Platte County,Wyoming,NA
Sheridan County,Wyoming,NA
Sublette County,Wyoming,NA
Sweetwater County,Wyoming,NA
Teton County,Wyoming,NA
Uinta County,Wyoming,NA
Washakie County,Wyoming,NA
Weston County,Wyoming,NA
